StudentID,Sex,Date,Subject,Grade,Attendence,pred_grade
489,M,2015-01,gsi015,25,6,49.16308781137546
816,F,2013-01,gsi005,47,4,57.8205460625901
802,M,2014-01,gsi015,87,0,60.08045323548604
802,M,2013-01,gsi005,69,2,56.44101846975955
819,F,2013-01,gsi005,49,4,57.8205460625901
251,M,2011-01,facom49010,0,20,13.804909534909536
838,M,2013-01,gsi005,67,12,40.342442718101715
787,M,2014-01,gsi015,0,54,0.0
787,M,2013-01,gsi005,63,4,57.8205460625901
797,M,2014-01,gsi015,86,6,49.16308781137546
797,M,2013-01,gsi005,80,4,57.8205460625901
789,M,2014-01,gsi015,0,6,49.16308781137546
789,M,2013-01,gsi005,44,0,60.08045323548604
806,M,2014-01,gsi015,71,4,57.8205460625901
806,M,2013-01,gsi005,75,0,60.08045323548604
450,M,2016-02,ggi017,5,16,35.99238231499857
851,M,2013-01,gsi015,62,0,60.08045323548604
906,M,2009-02,gem03,27,34,8.312685786435786
916,M,2009-02,gem03,0,0,60.08045323548604
833,M,2013-01,gsi005,47,0,60.08045323548604
103,M,2016-02,gsi015,0,10,48.77984440629432
404,M,2017-02,ggi017,11,20,13.804909534909536
463,M,2016-02,ggi017,18,6,49.16308781137546
255,M,2011-01,facom49010,65,0,60.08045323548604
254,F,2011-01,facom49010,38,10,48.77984440629432
713,M,2014-02,facom49010,42,0,60.08045323548604
715,F,2014-02,facom49010,50,4,57.8205460625901
242,F,2011-01,facom49010,14,4,57.8205460625901
421,F,2017-02,ggi005,11,16,35.99238231499857
437,F,2017-02,ggi005,12,12,40.342442718101715
821,M,2013-01,gsi005,56,4,57.8205460625901
416,M,2017-02,ggi017,73,10,48.77984440629432
440,F,2017-02,ggi005,12,24,13.48807045895281
710,M,2014-02,facom49010,13,24,13.48807045895281
791,M,2014-01,gsi015,67,6,49.16308781137546
791,M,2013-01,gsi005,72,0,60.08045323548604
420,M,2017-02,ggi005,18,14,39.286198151055295
603,M,2013-02,gsi005,30,30,8.961982461982462
603,M,2013-01,gsi005,33,8,49.73118208489337
707,M,2014-02,facom49010,77,2,56.44101846975955
614,M,2013-02,gsi005,0,58,0.0
614,M,2013-01,gsi005,0,58,0.0
725,M,2014-02,facom49010,31,16,35.99238231499857
830,M,2013-01,gsi005,49,10,48.77984440629432
828,M,2013-01,gsi005,26,48,5.8376190476190475
792,M,2014-01,gsi015,90,2,56.44101846975955
792,M,2013-01,gsi005,79,4,57.8205460625901
886,M,2009-01,gem03,78,0,60.08045323548604
696,M,2014-02,gsi015,60,18,36.04690061019081
696,M,2014-01,gsi015,46,10,48.77984440629432
696,M,2013-01,gsi005,60,0,60.08045323548604
