StudentID,Sex,Date,Subject,Grade,Attendence,pred_grade
816,F,2013-01,gsi005,47,4,50.207818850067724
802,M,2014-01,gsi015,87,0,71.19967706313294
802,M,2013-01,gsi005,69,2,57.25812800476755
819,F,2013-01,gsi005,49,4,50.207818850067724
251,M,2011-01,facom49010,0,20,9.933333333333334
838,M,2013-01,gsi005,67,12,41.44494755244756
787,M,2014-01,gsi015,0,54,0.0
787,M,2013-01,gsi005,63,4,50.207818850067724
797,M,2014-01,gsi015,86,6,55.489641517263635
797,M,2013-01,gsi005,80,4,50.207818850067724
789,M,2014-01,gsi015,0,6,55.489641517263635
789,M,2013-01,gsi005,44,0,49.49473075488123
806,M,2014-01,gsi015,71,4,62.1510829962276
806,M,2013-01,gsi005,75,0,49.49473075488123
450,M,2016-02,ggi017,5,16,19.9
851,M,2013-01,gsi015,62,0,71.19967706313294
906,M,2009-02,gem03,27,34,25.408333333333335
916,M,2009-02,gem03,0,0,61.89409798534799
833,M,2013-01,gsi005,47,0,49.49473075488123
103,M,2016-02,gsi015,0,10,43.55887315883291
404,M,2017-02,ggi017,11,20,5.7
463,M,2016-02,ggi017,18,6,43.141666666666666
255,M,2011-01,facom49010,65,0,82.40673425430779
254,F,2011-01,facom49010,38,10,56.96120572238219
713,M,2014-02,facom49010,42,0,82.40673425430779
715,F,2014-02,facom49010,50,4,63.457424242424246
242,F,2011-01,facom49010,14,4,63.457424242424246
421,F,2017-02,ggi005,11,16,21.05
437,F,2017-02,ggi005,12,12,9.433333333333334
821,M,2013-01,gsi005,56,4,50.207818850067724
416,M,2017-02,ggi017,73,10,81.46666666666667
440,F,2017-02,ggi005,12,24,7.340000000000001
710,M,2014-02,facom49010,13,24,12.333333333333334
791,M,2014-01,gsi015,67,6,55.489641517263635
791,M,2013-01,gsi005,72,0,49.49473075488123
420,M,2017-02,ggi005,18,14,23.85
603,M,2013-02,gsi005,30,30,7.593333333333334
603,M,2013-01,gsi005,33,8,42.483148010400335
707,M,2014-02,facom49010,77,2,67.2136507936508
614,M,2013-02,gsi005,0,58,0.0
614,M,2013-01,gsi005,0,58,0.0
725,M,2014-02,facom49010,31,16,30.560000000000002
830,M,2013-01,gsi005,49,10,44.57619267866636
828,M,2013-01,gsi005,26,48,15.6
792,M,2014-01,gsi015,90,2,62.57671514106808
792,M,2013-01,gsi005,79,4,50.207818850067724
886,M,2009-01,gem03,78,0,61.89409798534799
696,M,2014-02,gsi015,60,18,35.51038794538795
696,M,2014-01,gsi015,46,10,43.55887315883291
696,M,2013-01,gsi005,60,0,49.49473075488123
712,F,2014-02,facom49010,39,12,42.08380952380953
716,M,2014-02,facom49010,85,10,56.96120572238219
936,F,2009-02,gem03,60,11,48.059682539682534
722,M,2014-02,facom49010,37,2,67.2136507936508
425,M,2017-02,ggi005,90,0,84.6
723,M,2014-02,facom49010,79,8,53.55333333333333
452,M,2016-02,ggi017,12,22,7.8
708,M,2014-02,facom49010,65,8,53.55333333333333
719,M,2014-02,facom49010,56,12,42.08380952380953
717,M,2014-02,facom49010,47,2,67.2136507936508
441,M,2017-02,ggi005,1,8,23.52285714285714
834,M,2013-01,gsi005,28,20,9.746666666666666
412,F,2017-02,ggi017,1,30,2.0
412,F,2016-02,ggi017,0,24,6.7333333333333325
429,M,2017-02,ggi005,10,4,33.575
835,F,2013-01,gsi005,66,0,49.49473075488123
820,M,2013-01,gsi005,0,78,0.0
442,F,2017-02,ggi005,0,28,2.8
424,M,2017-02,ggi005,18,36,10.65
808,F,2015-01,gsi015,60,8,52.25605223080223
808,F,2013-01,gsi005,63,2,57.25812800476755
720,M,2014-02,facom49010,94,4,63.457424242424246
817,M,2013-01,gsi005,0,78,0.0
793,M,2014-01,gsi015,80,8,52.25605223080223
793,M,2013-01,gsi005,80,4,50.207818850067724
431,M,2017-02,ggi005,0,38,0.19
419,F,2017-02,ggi005,0,36,10.65
432,M,2017-02,ggi005,34,8,23.52285714285714
728,M,2014-02,facom49010,32,6,58.17121212121212
729,M,2014-02,facom49010,41,12,42.08380952380953
718,M,2014-02,facom49010,69,6,58.17121212121212
699,M,2014-02,gsi015,64,0,71.19967706313294
699,M,2013-01,gsi005,66,0,49.49473075488123
724,M,2014-02,facom49010,81,2,67.2136507936508
843,M,2013-01,gsi005,60,16,23.636889499389504
414,F,2017-02,ggi017,18,16,19.9
414,F,2016-02,ggi017,4,20,5.7
427,M,2017-02,ggi005,9,8,23.52285714285714
454,M,2016-02,ggi017,0,34,1.285
417,F,2017-02,ggi005,12,14,23.85
822,F,2013-01,gsi005,38,20,9.746666666666666
